"date","NH4_N","NO3_N","PO4_P","temperature","depth"
"1985-01-16",0.01,2.04642857142857,0.199,4.16,"0_65m"
"1985-01-28",NA,NA,NA,3.5,"0_65m"
"1985-02-11",0.0107142857142857,2.25,0.204,3.56666666666667,"0_65m"
"1985-03-11",0.015,2.31428571428571,0.201,3.3,"0_65m"
"1985-03-25",NA,NA,NA,3.57333333333333,"0_65m"
"1985-04-09",0.0157142857142857,2.12428571428571,0.195285714285714,4.61333333333333,"0_65m"
"1985-04-22",NA,NA,NA,5.61333333333333,"0_65m"
"1985-05-06",0.0171428571428571,2.06285714285714,0.164714285714286,6.37333333333333,"0_65m"
"1985-05-20",NA,NA,NA,7.48666666666667,"0_65m"
"1985-06-03",0.0935714285714286,2.19428571428571,0.160928571428571,8.22,"0_65m"
"1985-06-17",NA,NA,NA,8.28666666666667,"0_65m"
"1985-07-02",0.0421428571428571,2.27214285714286,0.154214285714286,9.2,"0_65m"
"1985-07-15",NA,NA,NA,9.56,"0_65m"
"1985-07-29",0.0278571428571429,2.03857142857143,0.150642857142857,9.96666666666667,"0_65m"
"1985-08-12",NA,NA,NA,9.18666666666667,"0_65m"
"1985-08-26",0.0407142857142857,2.00428571428571,0.142,10.8363636363636,"0_65m"
"1985-09-09",NA,NA,NA,8.95,"0_65m"
"1985-09-23",0.0164285714285714,1.97071428571429,0.172642857142857,9.15333333333333,"0_65m"
"1985-10-07",NA,NA,NA,9.15333333333333,"0_65m"
"1985-10-21",0.055,1.98785714285714,0.159714285714286,8.13333333333333,"0_65m"
"1985-11-04",NA,NA,NA,7.22666666666667,"0_65m"
"1985-11-18",0.0478571428571429,1.81857142857143,0.170714285714286,6.38,"0_65m"
"1985-12-02",NA,NA,NA,5.47333333333333,"0_65m"
"1985-12-16",0.0321428571428571,2.07714285714286,0.180642857142857,5.4,"0_65m"
"1986-01-13",NA,2.04357142857143,0.1845,4.45333333333333,"0_65m"
"1986-02-10",0.0107142857142857,2.30714285714286,0.185,3.16666666666667,"0_65m"
"1986-03-17",NA,2.25142857142857,0.184214285714286,3.22666666666667,"0_65m"
