id_CH;id_ZH;id_RO;empire;kingdom;phylum;class;order;family;genus;species;size;potentiallyToxic;affiliation;synonyms;EstimatedBiovolumesFromLiterature;Literature;volume_um.3;kremer_key;kremer_match;min_nu.biovol;mn_nu.biovol;mdn_nu.biovol;max_nu.biovol;sd_nu.biovol;n;mn_cells.per.nu;n_sources;w.tsn;analysis;comments;size_category;motility;physiology;colony_growth;stRategy;cell_shape;special_nutrition;volume_um.3.1;surface_um.2;VWS;GRE;HAL;SEM;BAL;BoOber;Unter;WAL;qualifier_as_food;species_buergi;coloniality;comments_coloniality;guild;guild.code
1;100203;;prokaryota;Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Leptothrix;ochracea;;NA;Leptothrix ochracea;;NA;;NA;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;all;NA;NA;NA;NA;h;NA;NA;NA;1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;Leptothrix ochracea;1;;NA;NA
2;100201;;prokaryota;Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Leptothrix;echinata;;NA;Leptothrix echinata;;NA;;NA;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;all;NA;NA;NA;NA;c;NA;NA;NA;1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;Leptothrix echinata;0;;NA;NA
3;NA;;prokaryota;Bacteria;Proteobacteria;;;Siderocapsaceae;Siderocapsa;sp;;NA;Siderocapsa sp;;NA;;NA;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;all;check: details about systematics;NA;NA;NA;NA;NA;NA;NA;1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;Siderocapsa;NA;;NA;NA
4;NA;;prokaryota;Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Lampropedia;hyalina;;NA;Lampropedia hyalina;;NA;;NA;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;all;NA;NA;NA;NA;NA;NA;NA;NA;10;7;NA;NA;NA;NA;NA;NA;NA;NA;NA;Lampropedia hyalina;NA;;NA;NA
5;NA;;prokaryota;bacteria;Proteobacteria;Gammaproteobacteria;Chromatiales;Chromatiaceae;Thiopedia;rosea;;NA;Thiopedia rosea;;NA;;NA;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;all;NA;NA;NA;NA;NA;NA;NA;NA;10;7;NA;NA;NA;NA;NA;NA;NA;NA;NA;Thiopedia rosea;NA;;NA;NA
6;110000;;prokaryota;Bacteria;Proteobacteria;Gammaproteobacteria;Chromatiales;;;;(<4 um);NA;;;NA;;NA;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;biomass only;NA;NA;NA;NA;NA;NA;NA;NA;5;5;NA;NA;NA;NA;NA;NA;NA;NA;NA;sulfur bacteria;NA;;NA;NA
7;110001;;prokaryota;Bacteria;Proteobacteria;Gammaproteobacteria;Chromatiales;;;;(>4 um);NA;;;NA;;NA;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;NA;NA
10;100202;;prokaryota;Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Leptothrix;pseudovacuolata;;NA;Leptothrix pseudovacuolata;;NA;;NA;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;all;NA;NA;NA;NA;f;NA;NA;NA;1;1;NA;NA;1;NA;NA;NA;NA;NA;NA;Leptothrix pseudovacuolata;1;;NA;NA
11;100401;;prokaryota;Bacteria;Proteobacteria;Betaproteobacteria;Nitrosomonadales;Gallionellaceae;Gallionella;ferruginea;;NA;Gallionella ferruginea;;NA;;NA;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;all;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Gallionella ferruginea;NA;;NA;NA
12;100300;;prokaryota;Bacteria;Proteobacteria;Betaproteobacteria;Nitrosomonadales;Spirillaceae;Spirillum;sp;;NA;Spirillum sp;;NA;;NA;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;all;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Spirillum sp;NA;;NA;NA
13;100301;;prokaryota;Bacteria;Proteobacteria;Betaproteobacteria;Nitrosomonadales;Spirillaceae;Spirillum;volutans;;NA;Spirillum volutans;;NA;;NA;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;all;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Spirillum volutans;NA;;NA;NA
14;100500;;prokaryota;Bacteria;Proteobacteria;Gammaproteobacteria;Methylococcales;Crenotrichaceae;Crenothrix;sp;;NA;Crenothrix sp;;NA;;NA;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;all;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Crenothrix sp;NA;;NA;NA
15;100600;;prokaryota;Bacteria;Proteobacteria;Gammaproteobacteria;Thiotrichales;Thiotrichaceae;Thiospira;sp;;NA;Thiospira sp;;NA;;NA;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;all;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Thiospira sp;NA;;NA;NA
16;100501;;prokaryota;Bacteria;Proteobacteria;Gammaproteobacteria;Methylococcales;Crenotrichaceae;Crenothrix;fusca;;NA;Crenothrix fusca;;NA;;NA;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;NA;NA
17;100502;;prokaryota;Bacteria;Proteobacteria;Gammaproteobacteria;Methylococcales;Crenotrichaceae;Crenothrix;polyspora;;NA;Crenothrix polyspora;;NA;;NA;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;NA;NA
50;NA;;prokaryota;Bacteria;Planctomycetes;Planctomycetacia;Planctomycetales;Planctomycetaceae;Planctomyces;sp;;NA;Planctomyces sp;;NA;;NA;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;biomass only;NA;NA;NA;NA;NA;NA;NA;NA;1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;Planctomyces;NA;;NA;NA
51;100101;;prokaryota;Bacteria;Planctomycetes;Planctomycetacia;Planctomycetales;Planctomycetaceae;Planctomyces;bekefii;;NA;Planctomyces bekefii;;NA;;NA;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;all;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Planctomyces bekefii;NA;;NA;NA
100;NA;;prokaryota;Bacteria;;;;;;;;NA;;;NA;;1;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;biomass only;NA;NA;NA;NA;NA;NA;NA;NA;1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;bacteria;NA;;NA;NA
101;200700;s012;prokaryota;Bacteria;Cyanobacteria;Cyanophyceae;Chroococcales;Aphanothecaceae;Aphanothece;sp;;NA;Aphanothece sp;;NA;;10;Aphanothece;genus;0,195899652;1,935423551;1,897627091;3,201397124;0,549039027;1079;40,41133704;7;636;all;NA;c;c;a;f;K;g;NA;10;18;10;10;NA;NA;NA;10;10;NA;7;Aphanothece sp;3;;cyanobacteria;P2
102;NA;;prokaryota;Bacteria;Cyanobacteria;Cyanophyceae;Synechococcales;Synechococcaceae;Anathece;clathrata;;NA;Anathece clathrata;Aphanothece clathrata;NA;;2;Aphanothece clathrata;species;1,779452183;2,486950743;2,39986593;3,024280376;0,27365921;73;226,6666667;3;646;all;NA;c;c;a;f;K;g;NA;2;5;2;NA;NA;NA;NA;2;2;NA;2;Anathece clathrata;3;;cyanobacteria;P2
103;NA;;prokaryota;Bacteria;Cyanobacteria;Cyanophyceae;Synechococcales;Synechococcaceae;Anathece;bachmannii;;NA;Anathece bachmannii;Aphanothece clathrata var brevis / Aphanothece bachmannii;NA;;1;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;all;NA;b;c;a;f;K;g;NA;1;3;1;NA;NA;NA;NA;1;1;NA;1;Anathece bachmannii;3;;cyanobacteria;P2
104;NA;;prokaryota;Bacteria;Cyanobacteria;Cyanophyceae;Chroococcales;Aphanothecaceae;Aphanothece;nidulans;;NA;Aphanothece nidulans;;NA;;3;Aphanothece nidulans;species;0,747411808;1,559356402;1,546419249;2,546542663;0,386459775;354;41,50568883;3;650;all;NA;c;c;a;f;K;g;NA;3;7;3;NA;NA;NA;NA;3;3;NA;2;Aphanothece nidulans;3;;cyanobacteria;P2
