id_CH;id_ZH;id_RO;empire;kingdom;phylum;class;order;family;genus;species;size;potentiallyToxic;affiliation;synonyms;EstimatedBiovolumesFromLiterature;Literature;volume_um.3;kremer_key;kremer_match;min_nu.biovol;mn_nu.biovol;mdn_nu.biovol;max_nu.biovol;sd_nu.biovol;n;mn_cells.per.nu;n_sources;w.tsn;analysis;comments;size_category;motility;physiology;colony_growth;stRategy;cell_shape;special_nutrition;volume_um.3.1;surface_um.2;VWS;GRE;HAL;SEM;BAL;BoOber;Unter;WAL;qualifier_as_food;species_buergi;coloniality;comments_coloniality;guild;guild.code
670;NA;;eukaryota;Chromista;Ochrophyta;Chrysophyceae;Chromulinales;Chromulinaceae;Ochromonas;polychrysis;;NA;Ochromonas polychrysis;;NA;;230;Ochromonas;genus;1,153509989;1,617464521;1,431232518;2,17912073;0,26522845;4698;1;4;1455;all;NA;c;a;d;b;R;a;NA;230;NA;NA;NA;NA;NA;NA;NA;NA;NA;230;Ochromonas polychrysis;0;;gold algae;P9
671;NA;;eukaryota;Chromista;Ochrophyta;Chrysophyceae;Chromulinales;Chromulinaceae;Ochromonas;vallesiaca;;NA;Ochromonas vallesiaca;;NA;;230;Ochromonas;genus;1,153509989;1,617464521;1,431232518;2,17912073;0,26522845;4698;1;4;1455;all;NA;c;a;d;b;R;a;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Ochromonas vallesiaca;0;;gold algae;P9
672;NA;;eukaryota;Chromista;Ochrophyta;Chrysophyceae;Chromulinales;Chromulinaceae;Ochromonas;verrucosa;;NA;Ochromonas verrucosa;;NA;;1500;Ochromonas;genus;1,153509989;1,617464521;1,431232518;2,17912073;0,26522845;4698;1;4;1455;all;NA;c;a;d;b;R;a;NA;1500;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Ochromonas verrucosa;0;;gold algae;P10
673;NA;;eukaryota;Chromista;Ochrophyta;Synurophyceae;Ochromonadales;Ochromonadaceae;Syncrypta;volvox;;NA;Syncrypta volvox;;NA;;1500;Syncrypta;genus;2,158362492;2,786275716;2,932077478;3,376576957;0,310406526;42;1;2;1479;all;NA;d;a;d;f;K;b;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Syncrypta volvox;3;;gold algae;P11
674;NA;;eukaryota;Chromista;Ochrophyta;Chrysophyceae;Chromulinales;Paraphysomonadaceae;Chrysosphaerella;longispina;;NA;Chrysosphaerella longispina;;NA;;420;Chrysosphaerella longispina;species;1,698970004;2,687441741;2,525226265;3,869666232;0,504301249;23;2,666666667;2;1670;all;NA;d;a;d;f;K;a;a;420;NA;NA;NA;NA;NA;NA;420;420;NA;420;Chrysosphaerella longispina;3;;gold algae;P11
675;NA;;eukaryota;Chromista;Ochrophyta;Chrysophyceae;Chromulinales;Chromulinaceae;Uroglena;sp;;NA;Uroglena sp;Heterochromonas sp;NA;;100;Uroglena;genus;1,577535457;2,140144025;2,02177432;2,870402544;0,280056147;1591;1,068421053;4;1483;all;discuss! Heterochromonas is not an accepted genus anymore!;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Heterochromonas sp;4;;gold algae;P11
676;512202;;eukaryota;Chromista;Ochrophyta;Chrysophyceae;Chromulinales;Dinobryaceae;Chrysolykos;calceatus;;NA;Chrysolykos calceatus;;NA;;200;Chrysolykos;genus;1,444120995;1,757610661;1,698089409;2,138766936;0,12869926;1596;1;3;1594;all;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Chrysolykos calceatus;0;;gold algae;P9
677;NA;;eukaryota;Chromista;Ochrophyta;Synurophyceae;Synurales;Mallomonadaceae;Mallomonas;lata;;NA;Mallomonas lata;;NA;;NA;Mallomonas;genus;1,521661015;2,892936923;2,928285319;4,122215878;0,443882234;6673;1,120540541;6;1598;all;species untraceable in any serious database! ;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Mallomonas lata;0;;gold algae;P9
678;NA;;eukaryota;Chromista;Ochrophyta;Synurophyceae;Synurales;Mallomonadaceae;Mallomonas;lychenensis;;NA;Mallomonas lychenensis;Mallomonas robusta;NA;;NA;Mallomonas;genus;1,521661015;2,892936923;2,928285319;4,122215878;0,443882234;6673;1,120540541;6;1598;all;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Mallomonas lychenensis;0;;gold algae;P9
679;512800;;eukaryota;Chromista;Ochrophyta;Synurophyceae;Synurales;Synuraceae;Spiniferomonas;sp;;NA;Spiniferomonas sp;;NA;;150;Spiniferomonas;genus;1,552841969;2,024091852;1,998043086;2,553276046;0,226867402;1286;NA;1;1667;all;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Spiniferomonas sp;NA;;gold algae;NA
697;NA;;eukaryota;Chromista;Ochrophyta;Chrysophyceae;;;;;cysts;NA;;;NA;;600;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;biomass only;NA;c;c;NA;NA;NA;NA;NA;600;NA;NA;NA;NA;NA;NA;600;600;NA;NA;Chrysophyceae Cysts;0;;gold algae;P10
698;510091;;eukaryota;Chromista;Ochrophyta;Chrysophyceae;;;;;small;NA;;;NA;;100;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;biomass only;NA;b;a;d;b;R;a;NA;100;120;100;NA;NA;NA;NA;100;100;NA;100;Chrysophyceae small;0;;gold algae;P9
699;510092;;eukaryota;Chromista;Ochrophyta;Chrysophyceae;;;;;intermediate;NA;;;NA;;700;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;biomass only;NA;b;a;d;b;R;a;NA;700;450;700;NA;NA;NA;NA;700;700;NA;700;Chrysophyceae intermediate;0;;gold algae;P10
700;NA;;eukaryota;Chromista;Ochrophyta;Chrysophyceae;;;;;large;NA;;;NA;;2500;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;biomass only;NA;c;a;d;b;R;a;NA;2500;1500;NA;NA;NA;NA;NA;2500;2500;NA;1500;Chrysophyceae large;3;;gold algae;P11
701;NA;;eukaryota;Chromista;Ochrophyta;Chrysophyceae;Chromulinales;Chrysamoebaceae;Chrysidiastrum;sp;;NA;Chrysidiastrum sp;;NA;;100;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;all;NA;c;c;f;b;K;a;NA;100;140;NA;NA;NA;NA;NA;100;100;NA;100;Chrysidiastrum sp;3;;gold algae;P11
702;NA;;eukaryota;Chromista;Ochrophyta;Chrysophyceae;Chromulinales;Chrysamoebaceae;Rhizochrysis;sp;;NA;Rhizochrysis sp;;NA;;100;Rhizochrysis;genus;1,991727474;2,027597909;1,999651309;2,086464988;0,039437345;7;NA;1;1821;all;NA;c;c;f;b;K;a;NA;100;140;NA;NA;NA;NA;NA;100;100;NA;100;Rhizochrysis sp;0;;gold algae;P9
703;510591;;eukaryota;Chromista;Ochrophyta;Synurophyceae;Synurales;Mallomonadaceae;Mallomonas;sp;(10-20 um);NA;Mallomonas sp;;NA;;1500;Mallomonas;genus;1,521661015;2,892936923;2,928285319;4,122215878;0,443882234;6673;1,120540541;6;1598;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;;gold algae;P10
704;510592;;eukaryota;Chromista;Ochrophyta;Synurophyceae;Synurales;Mallomonadaceae;Mallomonas;sp;(20-30 um);NA;Mallomonas sp;;NA;;2000;Mallomonas;genus;1,521661015;2,892936923;2,928285319;4,122215878;0,443882234;6673;1,120540541;6;1598;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;;gold algae;P10
705;510593;;eukaryota;Chromista;Ochrophyta;Synurophyceae;Synurales;Mallomonadaceae;Mallomonas;sp;(>30 um);NA;Mallomonas sp;;NA;;2500;Mallomonas;genus;1,521661015;2,892936923;2,928285319;4,122215878;0,443882234;6673;1,120540541;6;1598;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;;gold algae;P10
706;510508;;eukaryota;Chromista;Ochrophyta;Synurophyceae;Synurales;Mallomonadaceae;Mallomonas;caudata;(45-60 um);NA;Mallomonas caudata;10000;NA;;10000;Mallomonas caudata;species;2,698970004;3,349882005;3,507023776;4,122215878;0,380039749;1111;1;2;1604;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;;gold algae;P10
707;511401;;eukaryota;Chromista;Ochrophyta;Chrysophyceae;Chromulinales;Chromulinaceae;Ochromonas;sp;(<10 um);NA;Ochromonas sp;;NA;;100;Ochromonas;genus;1,153509989;1,617464521;1,431232518;2,17912073;0,26522845;4698;1;4;1455;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;;gold algae;P9
708;511491;;eukaryota;Chromista;Ochrophyta;Chrysophyceae;Chromulinales;Chromulinaceae;Ochromonas;sp;(>10 um);NA;Ochromonas sp;;NA;;800;Ochromonas;genus;1,153509989;1,617464521;1,431232518;2,17912073;0,26522845;4698;1;4;1455;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;;gold algae;P10
750;NA;;eukaryota;Chromista;Ochrophyta;Chrysophyceae;Rhizochrysidales;;;;;NA;;;NA;;100;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;biomass only;NA;b;c;f;b;K;h;NA;100;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Rhizochrysidales;0;;gold algae;P9
751;NA;;eukaryota;Chromista;Ochrophyta;Chrysophyceae;Chromulinales;Chrysocapsaceae;Chrysocapsa;sp;;NA;Chrysocapsa sp;;NA;;1000;Chrysocapsa;genus;3,400418823;3,400418823;3,400418823;3,400418823;NA;1;7;1;1860;all;NA;d;c;c;f;K;a;NA;1000;600;NA;NA;NA;NA;NA;32;32;NA;200;Chrysocapsa sp;3;;gold algae;P11
752;NA;;eukaryota;Chromista;Ochrophyta;Chrysophyceae;Hydrurales;Hydruraceae;Hydrurus;foetidus;;NA;Hydrurus foetidus;;NA;;250;Hydrurus foetidus;species;1,08278537;1,989172406;2,029674804;2,931966115;0,373324507;52;NA;2;1873;all;NA;d;c;c;f;K;a;NA;250;200;NA;NA;NA;NA;NA;250;250;NA;10;Hydrurus foetidus;3;looks like a tiny plant, kind of filament but many cells at same level;gold algae;P11
753;NA;;eukaryota;Chromista;Ochrophyta;Chrysophyceae;Chromulinales;Chrysocapsaceae;Naegeliella;sp;;NA;Naegeliella sp;;NA;;100;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;all;NA;d;c;c;f;K;a;NA;100;140;NA;NA;NA;NA;NA;100;100;NA;20;Naegeliella sp;3;;gold algae;P11
754;NA;;eukaryota;Chromista;Ochrophyta;Chrysophyceae;Chromulinales;Chrysocapsaceae;Chrysocapsa;planctonica;;NA;Chrysocapsa planctonica;;NA;;32;Chrysocapsa;genus;3,400418823;3,400418823;3,400418823;3,400418823;NA;1;7;1;1860;all;NA;d;c;c;f;K;a;NA;32;NA;NA;NA;NA;NA;NA;32;32;NA;32;Chrysocapsa planctonica;3;;gold algae;P11
770;NA;;eukaryota;Chromista;Ochrophyta;Phaeothamniophyceae;Phaeothamniales;Phaeothamniaceae;Stichogloea;sp;;NA;Stichogloea sp;;NA;;32;Stichogloea;genus;1,844923238;2,202937463;2,060687985;2,625456506;0,200266388;436;1,720689655;2;1879;all;NA;d;c;c;f;K;h;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Stichogloea sp;0;;gold algae;P9
771;NA;;eukaryota;Chromista;Ochrophyta;Chrysophyceae;Hibberdiales;Stylococcaceae;Bitrichia;sp;;NA;Bitrichia sp;;NA;;100;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;all;NA;c;c;f;b;K;d;NA;100;120;NA;NA;NA;NA;NA;100;100;NA;100;Bitrichia sp;0;;gold algae;P9
772;512001;;eukaryota;Chromista;Ochrophyta;Chrysophyceae;Hibberdiales;Stylococcaceae;Bitrichia;chodatii;;NA;Bitrichia chodatii;;NA;;100;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;all;NA;c;c;f;b;K;d;NA;100;120;NA;NA;NA;NA;NA;100;100;NA;100;Bitrichia chodatii;0;;gold algae;P9
773;512600;;eukaryota;Chromista;Ochrophyta;Chrysophyceae;Chromulinales;Chrysamoebaceae;Chrysamoeba;sp;;NA;Chrysamoeba sp;;NA;;250;Chrysamoeba;genus;2,053232149;2,614302832;2,894411698;2,895264649;0,485901652;3;1;2;1826;all;NA;c;c;f;b;K;d;NA;250;150;NA;NA;NA;NA;NA;250;250;NA;NA;Chrysamoeba sp;0;;gold algae;P9
774;NA;;eukaryota;Chromista;Ochrophyta;Chrysophyceae;Chromulinales;Chrysamoebaceae;Chrysamoeba;mikrokonta;;NA;Chrysamoeba mikrokonta;;NA;;250;Chrysamoeba;genus;2,053232149;2,614302832;2,894411698;2,895264649;0,485901652;3;1;2;1826;all;NA;c;c;f;b;K;d;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Chrysamoeba mikrokonta;0;;gold algae;P9
775;NA;;eukaryota;Chromista;Ochrophyta;Chrysophyceae;Chromulinales;Chrysamoebaceae;Chrysamoeba;radians;;NA;Chrysamoeba radians;;NA;;250;Chrysamoeba;genus;2,053232149;2,614302832;2,894411698;2,895264649;0,485901652;3;1;2;1826;all;NA;c;c;f;b;K;d;NA;250;NA;NA;NA;NA;NA;NA;250;250;NA;NA;Chrysamoeba radians;0;;gold algae;P9
776;NA;;eukaryota;Chromista;Ochrophyta;Chrysophyceae;Chromulinales;Chrysosphaeraceae;Chrysosphaera;sp;;NA;Chrysosphaera sp;;NA;;250;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;all;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Chrysosphaera sp;3;;gold algae;P11
777;NA;;eukaryota;Chromista;Ochrophyta;Chrysophyceae;Chromulinales;Chrysosphaeraceae;Chrysosphaera;parvula;;NA;Chrysosphaera parvula;;NA;;250;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;all;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Chrysosphaera parvula;3;;gold algae;P11
778;NA;;eukaryota;Chromista;Ochrophyta;Chrysophyceae;Hibberdiales;Stylococcaceae;Bitrichia;longispina;;NA;Bitrichia longispina;;NA;;100;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;all;NA;c;c;f;b;K;d;NA;100;NA;NA;NA;NA;NA;NA;100;100;NA;NA;Bitrichia longispina;0;;gold algae;P9
779;511700;;eukaryota;Chromista;Ochrophyta;Chrysophyceae;Chromulinales;Chrysamoebaceae;Chrysarachnion;sp;;NA;Chrysarachnion sp;;NA;;15;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;all;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Chrysarachnion sp;3;;gold algae;P11
780;512401;;eukaryota;Chromista;Ochrophyta;Chrysophyceae;Chromulinales;Chrysamoebaceae;Chrysidiastrum;catenatum;;NA;Chrysidiastrum catenatum;;NA;;1100;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;all;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Chrysidiastrum catenatum;1;more than a filament is a chain forming colony;gold algae;P11
781;512002;;eukaryota;Chromista;Ochrophyta;Chrysophyceae;Hibberdiales;Stylococcaceae;Bitrichia;ollula;;NA;Bitrichia ollula;;NA;;400;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;all;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Bitrichia ollula;0;;gold algae;P10
782;510301;;eukaryota;Chromista;Ochrophyta;Chrysophyceae;Chromulinales;Dinobryaceae;Kephyrion;moniliferum;;NA;Kephyrion moniliferum;;NA;;200;Kephyrion;genus;1,273464273;1,855790314;1,77385312;2,411840384;0,209913618;1667;1;5;1764;all;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Kephyrion moniliferum;0;;gold algae;P9
783;510601;;eukaryota;Chromista;Ochrophyta;Synurophyceae;Ochromonadales;Ochromonadaceae;Erkenia;subaequiciliata;;NA;Erkenia subaequiciliata;;NA;;150;Erkenia subaequiciliata;species;1,476998187;1,490575936;1,480626305;1,62838893;0,036640709;437;1;3;1513;all;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Erkenia subaequiciliata;0;;gold algae;P9
801;NA;;eukaryota;Chromista;Ochrophyta;Phaeothamniophyceae;Phaeothamniales;Phaeothamniaceae;Phaeothamnion;sp;;NA;Phaeothamnion sp;;NA;;500;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;all;NA;d;c;b;h;K;h;NA;500;100;NA;NA;NA;NA;NA;500;500;NA;NA;Phaeothamnion sp;NA;;gold algae;NA
802;NA;;eukaryota;Chromista;Ochrophyta;Chrysophyceae;Chromulinales;Chrysothallaceae;Phaeoplaca;sp;;NA;Phaeoplaca sp;;NA;;440;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;all;NA;d;c;b;h;K;h;NA;440;390;NA;NA;NA;NA;NA;NA;NA;NA;40;Phaeoplaca sp;2;;gold algae;P11
803;NA;;eukaryota;Chromista;Ochrophyta;Chrysophyceae;Chromulinales;Chrysothallaceae;Phaeoplaca;thallosa;;NA;Phaeoplaca thallosa;;NA;;440;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;all;NA;d;c;b;h;K;h;NA;440;390;NA;NA;NA;NA;NA;NA;NA;NA;40;Phaeoplaca thallosa;2;;gold algae;P11
851;NA;;eukaryota;Protozoa;Choanozoa;Choanoflagellatea;Craspedida;Codonosigaceae;Monosiga;sp;;NA;Monosiga sp;;NA;;85;Monosiga;genus;1,673069434;1,849038996;1,6734159;2,200631655;0,304488223;3;1;2;13713;all;NA;c;a;d;b;R;d;d;85;100;NA;NA;NA;NA;NA;85;85;NA;50;Monosiga sp;0;;NA;NA
852;NA;;eukaryota;Chromista;Ochrophyta;Craspedomonadophyceae;;;Diplosiga;sp;;NA;Diplosiga sp;;NA;;250;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;all;species untraceable in any serious database! Does not occur in data!;c;a;d;b;R;d;d;250;200;NA;NA;NA;NA;NA;250;250;NA;120;Diplosiga sp;0;;gold algae;P9
853;NA;;eukaryota;Protozoa;Choanozoa;Choanoflagellatea;Craspedida;Codonosigaceae;Desmarella;sp;;NA;Desmarella sp;;NA;;370;Desmarella;genus;1,740231211;2,21302385;2,053661846;2,86923172;0,275529766;46;4,8;2;13710;all;NA;c;a;d;h;R;c;d;370;240;NA;NA;NA;NA;NA;370;370;NA;170;Desmarella sp;0;;NA;NA
854;NA;;eukaryota;Protozoa;Choanozoa;Choanoflagellatea;Craspedida;Codonosigaceae;Sphaeroeca;sp;;NA;Sphaeroeca sp;;NA;;65;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;all;NA;c;a;d;f;R;d;d;65;95;NA;NA;NA;NA;NA;NA;NA;NA;40;Sphaeroeca sp;3;;NA;NA
855;513001;;eukaryota;Protozoa;Choanozoa;Choanoflagellatea;Craspedida;Codonosigaceae;Sphaeroeca;volvox;;NA;Sphaeroeca volvox;;NA;;65;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;all;NA;c;a;d;f;R;d;d;65;95;NA;NA;NA;NA;NA;NA;NA;NA;40;Sphaeroeca volvox;4;;NA;NA
856;NA;;eukaryota;Protozoa;Choanozoa;Choanoflagellatea;Craspedida;Codonosigaceae;Codosiga;sp;;NA;Codosiga sp;;NA;;110;Codosiga;genus;2,488496826;2,641001583;2,559875312;3,025305865;0,207727981;6;NA;1;13708;all;NA;c;a;d;h;R;b;d;110;110;NA;NA;NA;NA;NA;NA;NA;NA;80;Codosiga sp;0;;NA;NA
857;512900;;eukaryota;Protozoa;Choanozoa;Choanoflagellatea;Craspedida;Salpingoecaceae;Salpingoeca;sp;;NA;Salpingoeca sp;;NA;;300;Salpingoeca;genus;1,538546496;1,638026569;1,633546905;1,771414266;0,038709423;152;NA;1;13734;all;NA;c;a;d;b;R;c;d;300;250;NA;NA;NA;NA;NA;300;300;NA;150;Salpingoeca sp;0;;NA;NA
858;NA;;eukaryota;Protozoa;Choanozoa;Choanoflagellatea;Craspedida;Salpingoecaceae;Salpingoeca;frequentissima;;NA;Salpingoeca frequentissima;;NA;;135;Salpingoeca frequentissima;species;1,538546496;1,62887987;1,633470808;1,638272164;0,016305989;141;NA;1;13736;all;NA;c;a;d;b;R;c;d;135;112;150;20;100;140;NA;NA;NA;NA;80;Salpingoeca frequentissima;0;;NA;NA
859;NA;;eukaryota;Protozoa;Choanozoa;Choanoflagellatea;Craspedida;Codosigidae;Diploeca;sp;;NA;Diploeca sp;;NA;;140;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;all;NA;c;a;d;b;R;c;d;140;120;NA;NA;NA;NA;NA;NA;NA;NA;80;Diploeca sp;NA;;NA;NA
860;NA;;eukaryota;Protozoa;Choanozoa;Choanoflagellatea;Craspedida;Salpingoecaceae;Stelexomonas;sp;;NA;Stelexomonas sp;;NA;;45;Stelexomonas;genus;1,638857912;1,912128645;1,851038662;2,267171728;0,176212231;293;NA;1;13738;all;NA;c;a;d;h;R;c;d;45;65;NA;NA;NA;NA;NA;NA;NA;NA;40;Stelexomonas sp;0;;NA;NA
861;NA;;eukaryota;Protozoa;Choanozoa;Choanoflagellatea;Craspedida;Codosigidae;Astrosiga;radiata;;NA;Astrosiga radiata;;NA;;100;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;all;NA;c;c;d;b;R;c;d;100;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Astrosiga radiata;3;;NA;NA
862;NA;;eukaryota;Protozoa;Choanozoa;Choanoflagellatea;Craspedida;Codonosigaceae;Monosiga;ovata;;NA;Monosiga ovata;;NA;;85;Monosiga;genus;1,673069434;1,849038996;1,6734159;2,200631655;0,304488223;3;1;2;13713;all;NA;c;c;d;b;R;c;d;85;NA;NA;NA;NA;NA;NA;85;85;NA;80;Monosiga ovata;0;could also make collar forming colonies;NA;NA
863;NA;;eukaryota;Protozoa;Choanozoa;Choanoflagellatea;Craspedida;Codonosigaceae;Monosiga;varians;;NA;Monosiga varians;;NA;;110;Monosiga;genus;1,673069434;1,849038996;1,6734159;2,200631655;0,304488223;3;1;2;13713;all;NA;c;c;d;b;R;c;d;110;NA;NA;NA;NA;NA;NA;110;110;NA;100;Monosiga varians;0;;NA;NA
864;512901;;eukaryota;Protozoa;Choanozoa;Choanoflagellatea;Craspedida;Salpingoecaceae;Salpingoeca;ruttneri;;NA;Salpingoeca ruttneri;;NA;;200;Salpingoeca;genus;1,538546496;1,638026569;1,633546905;1,771414266;0,038709423;152;NA;1;13734;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;;NA;NA
865;513101;;eukaryota;Protozoa;Choanozoa;Choanoflagellatea;Craspedida;Salpingoecaceae;Stelexomonas;dichotoma;;NA;Stelexomonas dichotoma;;NA;;110;Stelexomonas;genus;1,638857912;1,912128645;1,851038662;2,267171728;0,176212231;293;NA;1;13738;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;;NA;NA
1000;NA;;eukaryota;Chromista;Bacillariophyta;Bacillariophyceae;Centrales;;;;;NA;;;NA;;1500;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;biomass only;NA;NA;NA;NA;NA;NA;NA;NA;1500;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Centrales;0;;diatoms;P7
1001;523401;s146;eukaryota;Chromista;Bacillariophyta;Bacillariophyceae;Chaetocerales;Acanthocerataceae;Acanthoceras;zachariasii;;NA;Acanthoceras zachariasii;Attheya zachariasii;NA;;30000;Acanthoceras zachariasii;species;2,820857989;4,023922265;4,113039767;4,181843588;0,209480897;196;NA;1;591173;all;NA;d;c;a;b;K;f;a;30000;17000;NA;NA;NA;NA;NA;5000;5000;NA;5000;Acanthoceras zachariasii;0;;diatoms;P7
1002;NA;;eukaryota;Chromista;Bacillariophyta;Bacillariophyceae;Coscinodiscales;Coscinodiscaceae;Coscinodiscus;sp;;NA;Coscinodiscus sp;;NA;;3500;Coscinodiscus;genus;2,479200881;3,738528634;3,58940306;5,435449389;0,710722567;186;1;2;2546;all;NA;c;c;a;b;K;g;a;3500;1500;NA;NA;NA;NA;NA;3500;3500;NA;1500;Coscinodiscus sp;0;;diatoms;P7
1003;520200;s086;eukaryota;Chromista;Bacillariophyta;Bacillariophyceae;Thalassiosirales;Stephanodiscaceae;Cyclotella;sp;;NA;Cyclotella sp;;NA;;1350;Cyclotella;genus;0,673020907;2,608079354;2,648360011;4,10994958;0,590498963;9334;1,000716065;7;2439;all;NA;c;c;a;b;R;g;a;1350;550;200;200;200;150;85;200;200;NA;500;Cyclotella sp;0;;diatoms;P7
1004;NA;;eukaryota;Chromista;Bacillariophyta;Bacillariophyceae;Thalassiosirales;Stephanodiscaceae;Cyclotella;atomus;;NA;Cyclotella atomus;;NA;;120;Cyclotella atomus;species;0,673020907;1,774299685;1,85308953;2,514547753;0,322580627;536;1;2;2457;all;NA;b;c;a;b;K;g;a;120;120;NA;NA;NA;NA;NA;120;120;NA;120;Cyclotella atomus;0;;diatoms;P6
1005;520204;;eukaryota;Chromista;Bacillariophyta;Bacillariophyceae;Thalassiosirales;Stephanodiscaceae;Cyclotella;bodanica;;NA;Cyclotella bodanica;;NA;;5400;Cyclotella bodanica;species;1,754348336;3,045180614;3,205117649;4,10994958;0,733840523;66;1;4;2460;all;NA;c;c;a;b;K;g;a;5400;1800;5000;5200;3000;NA;NA;5400;5400;NA;2000;Cyclotella bodanica;0;;diatoms;P7
1006;NA;;eukaryota;Chromista;Bacillariophyta;Bacillariophyceae;Thalassiosirales;Stephanodiscaceae;Cyclotella;catenata;;NA;Cyclotella catenata;;NA;;510;Cyclotella catenata;species;1,698970004;1,698970004;1,698970004;1,698970004;NA;1;NA;1;2461;all;NA;c;c;a;b;K;g;a;510;250;NA;NA;NA;NA;NA;500;500;NA;500;Cyclotella catenata;0;;diatoms;P6
1007;NA;;eukaryota;Chromista;Bacillariophyta;Bacillariophyceae;Thalassiosirales;Stephanodiscaceae;Cyclotella;radiosa;;NA;Cyclotella radiosa;Cyclotella comta var radiosa;NA;;1350;Cyclotella radiosa;species;2,472268752;3,068883699;3,173671785;3,698970004;0,27929618;871;1;3;591101;all;NA;c;c;a;b;R;g;a;1350;550;NA;NA;NA;NA;NA;1350;1350;NA;1300;Cyclotella comta var. radiosa;0;;diatoms;P7
