"","date","id_CH","abundance","unit","depth","order","genus","species","volume_um.3","kremer_key","mdn_nu.biovol","volume_um.3.1","species_buergi","occurrences","lake"
"114",2010-12-13,2,1700000,"indv./L","0_15m","Burkholderiales","Leptothrix","echinata",NA,"",NA,1,"Leptothrix echinata",1,"BAL"
"115",2011-04-18,2,200,"indv./L","0_15m","Burkholderiales","Leptothrix","echinata",NA,"",NA,1,"Leptothrix echinata",1,"BAL"
"116",2011-11-14,2,40000,"indv./L","0_15m","Burkholderiales","Leptothrix","echinata",NA,"",NA,1,"Leptothrix echinata",1,"BAL"
"117",2011-12-12,2,1100000,"indv./L","0_15m","Burkholderiales","Leptothrix","echinata",NA,"",NA,1,"Leptothrix echinata",1,"BAL"
"118",2012-03-19,2,560000,"indv./L","0_15m","Burkholderiales","Leptothrix","echinata",NA,"",NA,1,"Leptothrix echinata",1,"BAL"
"119",2012-04-23,2,520000,"indv./L","0_15m","Burkholderiales","Leptothrix","echinata",NA,"",NA,1,"Leptothrix echinata",1,"BAL"
"120",2012-12-10,2,1400000,"indv./L","0_15m","Burkholderiales","Leptothrix","echinata",NA,"",NA,1,"Leptothrix echinata",1,"BAL"
"121",2013-01-28,2,40000,"indv./L","0_15m","Burkholderiales","Leptothrix","echinata",NA,"",NA,1,"Leptothrix echinata",1,"BAL"
"122",2013-09-23,2,160000,"indv./L","0_15m","Burkholderiales","Leptothrix","echinata",NA,"",NA,1,"Leptothrix echinata",1,"BAL"
"123",2013-10-21,2,320000,"indv./L","0_15m","Burkholderiales","Leptothrix","echinata",NA,"",NA,1,"Leptothrix echinata",1,"BAL"
"124",2013-12-16,1,340000,"indv./L","0_15m","Burkholderiales","Leptothrix","ochracea",NA,"",NA,1,"Leptothrix ochracea",1,"BAL"
"125",2014-03-17,2,120000,"indv./L","0_15m","Burkholderiales","Leptothrix","echinata",NA,"",NA,1,"Leptothrix echinata",1,"BAL"
"126",2014-10-20,2,200,"indv./L","0_15m","Burkholderiales","Leptothrix","echinata",NA,"",NA,1,"Leptothrix echinata",1,"BAL"
"127",2014-12-18,2,290000,"indv./L","0_15m","Burkholderiales","Leptothrix","echinata",NA,"",NA,1,"Leptothrix echinata",1,"BAL"
"128",2015-01-19,2,220000,"indv./L","0_15m","Burkholderiales","Leptothrix","echinata",NA,"",NA,1,"Leptothrix echinata",1,"BAL"
"129",2015-03-26,2,1600000,"indv./L","0_15m","Burkholderiales","Leptothrix","echinata",NA,"",NA,1,"Leptothrix echinata",1,"BAL"
"130",2015-04-27,2,120000,"indv./L","0_15m","Burkholderiales","Leptothrix","echinata",NA,"",NA,1,"Leptothrix echinata",1,"BAL"
"131",2015-11-02,2,3200000,"indv./L","0_15m","Burkholderiales","Leptothrix","echinata",NA,"",NA,1,"Leptothrix echinata",1,"BAL"
"132",2016-01-11,2,8800000,"indv./L","0_15m","Burkholderiales","Leptothrix","echinata",NA,"",NA,1,"Leptothrix echinata",1,"BAL"
"133",2016-03-18,2,60000,"indv./L","0_15m","Burkholderiales","Leptothrix","echinata",NA,"",NA,1,"Leptothrix echinata",1,"BAL"
"134",2016-11-07,2,420000,"indv./L","0_15m","Burkholderiales","Leptothrix","echinata",NA,"",NA,1,"Leptothrix echinata",1,"BAL"
"135",2017-03-20,2,200,"indv./L","0_15m","Burkholderiales","Leptothrix","echinata",NA,"",NA,1,"Leptothrix echinata",1,"BAL"
"136",2017-04-10,2,96000,"indv./L","0_15m","Burkholderiales","Leptothrix","echinata",NA,"",NA,1,"Leptothrix echinata",1,"BAL"
"137",2017-11-06,2,1400000,"indv./L","0_15m","Burkholderiales","Leptothrix","echinata",NA,"",NA,1,"Leptothrix echinata",1,"BAL"
"138",2018-03-19,2,16000,"indv./L","0_15m","Burkholderiales","Leptothrix","echinata",NA,"",NA,1,"Leptothrix echinata",1,"BAL"
"139",2018-06-04,2,1000,"indv./L","0_15m","Burkholderiales","Leptothrix","echinata",NA,"",NA,1,"Leptothrix echinata",1,"BAL"
"140",2019-01-14,2,130000,"indv./L","0_15m","Burkholderiales","Leptothrix","echinata",NA,"",NA,1,"Leptothrix echinata",1,"BAL"
