"","date","id_CH","abundance","unit","depth","order","genus","species","volume_um.3","kremer_key","mdn_nu.biovol","volume_um.3.1","species_buergi","occurrences","lake"
"137",2010-03-26,2,4e+05,"indv./L","0_13m","Burkholderiales","Leptothrix","echinata",NA,"",NA,1,"Leptothrix echinata",1,"HAL"
"138",2010-05-26,2,1000,"indv./L","0_13m","Burkholderiales","Leptothrix","echinata",NA,"",NA,1,"Leptothrix echinata",1,"HAL"
"139",2010-11-10,1,20000,"indv./L","0_13m","Burkholderiales","Leptothrix","ochracea",NA,"",NA,1,"Leptothrix ochracea",1,"HAL"
"140",2010-12-13,2,130000,"indv./L","0_13m","Burkholderiales","Leptothrix","echinata",NA,"",NA,1,"Leptothrix echinata",1,"HAL"
"141",2011-01-12,2,20000,"indv./L","0_13m","Burkholderiales","Leptothrix","echinata",NA,"",NA,1,"Leptothrix echinata",1,"HAL"
"142",2011-11-09,2,2e+05,"indv./L","0_13m","Burkholderiales","Leptothrix","echinata",NA,"",NA,1,"Leptothrix echinata",1,"HAL"
"143",2011-12-14,2,38000,"indv./L","0_13m","Burkholderiales","Leptothrix","echinata",NA,"",NA,1,"Leptothrix echinata",1,"HAL"
"144",2012-01-11,2,6000,"indv./L","0_13m","Burkholderiales","Leptothrix","echinata",NA,"",NA,1,"Leptothrix echinata",1,"HAL"
"145",2012-02-23,2,180000,"indv./L","0_13m","Burkholderiales","Leptothrix","echinata",NA,"",NA,1,"Leptothrix echinata",1,"HAL"
"146",2012-10-10,2,200,"indv./L","0_13m","Burkholderiales","Leptothrix","echinata",NA,"",NA,1,"Leptothrix echinata",1,"HAL"
"147",2012-12-12,2,1500000,"indv./L","0_13m","Burkholderiales","Leptothrix","echinata",NA,"",NA,1,"Leptothrix echinata",1,"HAL"
"148",2013-01-09,2,160000,"indv./L","0_13m","Burkholderiales","Leptothrix","echinata",NA,"",NA,1,"Leptothrix echinata",1,"HAL"
"149",2013-12-11,2,1e+05,"indv./L","0_13m","Burkholderiales","Leptothrix","echinata",NA,"",NA,1,"Leptothrix echinata",1,"HAL"
"150",2014-01-08,2,2e+05,"indv./L","0_13m","Burkholderiales","Leptothrix","echinata",NA,"",NA,1,"Leptothrix echinata",1,"HAL"
"151",2014-02-19,2,160000,"indv./L","0_13m","Burkholderiales","Leptothrix","echinata",NA,"",NA,1,"Leptothrix echinata",1,"HAL"
"152",2014-03-26,2,120000,"indv./L","0_13m","Burkholderiales","Leptothrix","echinata",NA,"",NA,1,"Leptothrix echinata",1,"HAL"
"153",2014-12-10,2,580000,"indv./L","0_13m","Burkholderiales","Leptothrix","echinata",NA,"",NA,1,"Leptothrix echinata",1,"HAL"
"154",2015-01-07,2,720000,"indv./L","0_13m","Burkholderiales","Leptothrix","echinata",NA,"",NA,1,"Leptothrix echinata",1,"HAL"
"155",2015-11-04,2,2e+05,"indv./L","0_13m","Burkholderiales","Leptothrix","echinata",NA,"",NA,1,"Leptothrix echinata",1,"HAL"
"156",2015-12-09,2,20000,"indv./L","0_13m","Burkholderiales","Leptothrix","echinata",NA,"",NA,1,"Leptothrix echinata",1,"HAL"
