"","date","id_CH","abundance","unit","depth","order","genus","species","volume_um.3","kremer_key","mdn_nu.biovol","volume_um.3.1","species_buergi","occurrences","lake"
"37",2005-09-19,15,6760000,"indv./L","0_20m","Thiotrichales","Thiospira","sp",NA,"",NA,NA,"Thiospira sp",1,"GRE"
"38",2005-10-17,2,67600,"indv./L","0_20m","Burkholderiales","Leptothrix","echinata",NA,"",NA,1,"Leptothrix echinata",1,"GRE"
"39",2005-10-17,15,6760000,"indv./L","0_20m","Thiotrichales","Thiospira","sp",NA,"",NA,NA,"Thiospira sp",1,"GRE"
"40",2005-11-14,1,1170,"indv./L","0_20m","Burkholderiales","Leptothrix","ochracea",NA,"",NA,1,"Leptothrix ochracea",1,"GRE"
"41",2005-11-14,2,135200,"indv./L","0_20m","Burkholderiales","Leptothrix","echinata",NA,"",NA,1,"Leptothrix echinata",1,"GRE"
"42",2005-11-14,15,27040000,"indv./L","0_20m","Thiotrichales","Thiospira","sp",NA,"",NA,NA,"Thiospira sp",1,"GRE"
"43",2005-12-12,1,93600,"indv./L","0_20m","Burkholderiales","Leptothrix","ochracea",NA,"",NA,1,"Leptothrix ochracea",1,"GRE"
"44",2005-12-12,2,667550,"indv./L","0_20m","Burkholderiales","Leptothrix","echinata",NA,"",NA,1,"Leptothrix echinata",1,"GRE"
"45",2006-02-27,1,25290,"indv./L","0_20m","Burkholderiales","Leptothrix","ochracea",NA,"",NA,1,"Leptothrix ochracea",1,"GRE"
"46",2006-02-27,2,93150,"indv./L","0_20m","Burkholderiales","Leptothrix","echinata",NA,"",NA,1,"Leptothrix echinata",1,"GRE"
"47",2006-03-20,1,18546,"indv./L","0_20m","Burkholderiales","Leptothrix","ochracea",NA,"",NA,1,"Leptothrix ochracea",1,"GRE"
"48",2006-03-20,2,250000,"indv./L","0_20m","Burkholderiales","Leptothrix","echinata",NA,"",NA,1,"Leptothrix echinata",1,"GRE"
"49",2006-04-18,1,6900,"indv./L","0_20m","Burkholderiales","Leptothrix","ochracea",NA,"",NA,1,"Leptothrix ochracea",1,"GRE"
"50",2006-04-18,2,359375,"indv./L","0_20m","Burkholderiales","Leptothrix","echinata",NA,"",NA,1,"Leptothrix echinata",1,"GRE"
"51",2006-05-15,2,93750,"indv./L","0_20m","Burkholderiales","Leptothrix","echinata",NA,"",NA,1,"Leptothrix echinata",1,"GRE"
"52",2006-06-12,1,10116,"indv./L","0_20m","Burkholderiales","Leptothrix","ochracea",NA,"",NA,1,"Leptothrix ochracea",1,"GRE"
"53",2006-06-12,2,375000,"indv./L","0_20m","Burkholderiales","Leptothrix","echinata",NA,"",NA,1,"Leptothrix echinata",1,"GRE"
"54",2006-07-10,1,1686,"indv./L","0_20m","Burkholderiales","Leptothrix","ochracea",NA,"",NA,1,"Leptothrix ochracea",1,"GRE"
"55",2006-07-10,2,31250,"indv./L","0_20m","Burkholderiales","Leptothrix","echinata",NA,"",NA,1,"Leptothrix echinata",1,"GRE"
"56",2006-07-10,15,18630000,"indv./L","0_20m","Thiotrichales","Thiospira","sp",NA,"",NA,NA,"Thiospira sp",1,"GRE"
"57",2006-08-14,2,46875,"indv./L","0_20m","Burkholderiales","Leptothrix","echinata",NA,"",NA,1,"Leptothrix echinata",1,"GRE"
"58",2006-08-14,15,7590000,"indv./L","0_20m","Thiotrichales","Thiospira","sp",NA,"",NA,NA,"Thiospira sp",1,"GRE"
"59",2006-09-12,15,252900,"indv./L","0_20m","Thiotrichales","Thiospira","sp",NA,"",NA,NA,"Thiospira sp",1,"GRE"
"60",2006-09-12,209,84300,"indv./L","0_20m","Synechococcales","Woronichinia","sp",NA,"",NA,NA,"Woronichinia sp",1,"GRE"
"61",2006-10-16,15,674400,"indv./L","0_20m","Thiotrichales","Thiospira","sp",NA,"",NA,NA,"Thiospira sp",1,"GRE"
"62",2006-11-06,2,18400,"indv./L","0_20m","Burkholderiales","Leptothrix","echinata",NA,"",NA,1,"Leptothrix echinata",1,"GRE"
"63",2007-01-22,1,47208,"indv./L","0_20m","Burkholderiales","Leptothrix","ochracea",NA,"",NA,1,"Leptothrix ochracea",1,"GRE"
"64",2007-01-22,2,372600,"indv./L","0_20m","Burkholderiales","Leptothrix","echinata",NA,"",NA,1,"Leptothrix echinata",1,"GRE"
"65",2007-01-22,15,690000,"indv./L","0_20m","Thiotrichales","Thiospira","sp",NA,"",NA,NA,"Thiospira sp",1,"GRE"
"66",2007-02-12,1,11802,"indv./L","0_20m","Burkholderiales","Leptothrix","ochracea",NA,"",NA,1,"Leptothrix ochracea",1,"GRE"
"67",2007-02-12,2,89700,"indv./L","0_20m","Burkholderiales","Leptothrix","echinata",NA,"",NA,1,"Leptothrix echinata",1,"GRE"
