"","id_CH","genus","species","kremer_key","abundance","occurrences","volume_um.3.1","mn_abundance"
"1",1,"Leptothrix","ochracea","",1625080,11,"1",147734.545454545
"2",2,"Leptothrix","echinata","",19190180,95,"1",202001.894736842
"3",3,"Siderocapsa","sp","",121400,5,"1",24280
"4",13,"Spirillum","volutans","",36000,1,NA,36000
"5",50,"Planctomyces","sp","",100000,1,"1",1e+05
