"","date","id_CH","abundance","unit","depth","order","genus","species","volume_um.3","kremer_key","mdn_nu.biovol","volume_um.3.1","species_buergi","occurrences","lake"
"53",1992-03-02,2,78000,"indv./L","0_15m","Burkholderiales","Leptothrix","echinata",NA,"",NA,1,"Leptothrix echinata",1,"SEM"
"54",1992-03-30,1,350000,"indv./L","0_15m","Burkholderiales","Leptothrix","ochracea",NA,"",NA,1,"Leptothrix ochracea",1,"SEM"
"55",1992-05-25,2,50000,"indv./L","0_15m","Burkholderiales","Leptothrix","echinata",NA,"",NA,1,"Leptothrix echinata",1,"SEM"
"56",1992-11-09,2,47000,"indv./L","0_15m","Burkholderiales","Leptothrix","echinata",NA,"",NA,1,"Leptothrix echinata",1,"SEM"
"57",1992-12-07,2,160000,"indv./L","0_15m","Burkholderiales","Leptothrix","echinata",NA,"",NA,1,"Leptothrix echinata",1,"SEM"
"58",1993-01-04,2,230000,"indv./L","0_15m","Burkholderiales","Leptothrix","echinata",NA,"",NA,1,"Leptothrix echinata",1,"SEM"
"59",1993-02-01,2,160000,"indv./L","0_15m","Burkholderiales","Leptothrix","echinata",NA,"",NA,1,"Leptothrix echinata",1,"SEM"
"60",1993-03-01,2,92000,"indv./L","0_15m","Burkholderiales","Leptothrix","echinata",NA,"",NA,1,"Leptothrix echinata",1,"SEM"
"61",1993-03-29,2,16000,"indv./L","0_15m","Burkholderiales","Leptothrix","echinata",NA,"",NA,1,"Leptothrix echinata",1,"SEM"
"62",1993-12-06,2,42000,"indv./L","0_15m","Burkholderiales","Leptothrix","echinata",NA,"",NA,1,"Leptothrix echinata",1,"SEM"
"63",1994-01-03,2,120000,"indv./L","0_15m","Burkholderiales","Leptothrix","echinata",NA,"",NA,1,"Leptothrix echinata",1,"SEM"
"64",1994-01-31,2,73000,"indv./L","0_15m","Burkholderiales","Leptothrix","echinata",NA,"",NA,1,"Leptothrix echinata",1,"SEM"
"65",1994-09-12,2,46000,"indv./L","0_15m","Burkholderiales","Leptothrix","echinata",NA,"",NA,1,"Leptothrix echinata",1,"SEM"
"66",1994-12-05,2,70000,"indv./L","0_15m","Burkholderiales","Leptothrix","echinata",NA,"",NA,1,"Leptothrix echinata",1,"SEM"
"67",1995-01-03,2,63000,"indv./L","0_15m","Burkholderiales","Leptothrix","echinata",NA,"",NA,1,"Leptothrix echinata",1,"SEM"
"68",1995-01-31,2,35000,"indv./L","0_15m","Burkholderiales","Leptothrix","echinata",NA,"",NA,1,"Leptothrix echinata",1,"SEM"
"69",1995-03-28,2,34000,"indv./L","0_15m","Burkholderiales","Leptothrix","echinata",NA,"",NA,1,"Leptothrix echinata",1,"SEM"
"70",1995-12-05,2,53000,"indv./L","0_15m","Burkholderiales","Leptothrix","echinata",NA,"",NA,1,"Leptothrix echinata",1,"SEM"
"71",1996-01-03,1,130000,"indv./L","0_15m","Burkholderiales","Leptothrix","ochracea",NA,"",NA,1,"Leptothrix ochracea",1,"SEM"
"72",1996-03-26,1,100000,"indv./L","0_15m","Burkholderiales","Leptothrix","ochracea",NA,"",NA,1,"Leptothrix ochracea",1,"SEM"
"73",1996-12-03,2,110000,"indv./L","0_15m","Burkholderiales","Leptothrix","echinata",NA,"",NA,1,"Leptothrix echinata",1,"SEM"
"74",1997-01-07,2,650000,"indv./L","0_15m","Burkholderiales","Leptothrix","echinata",NA,"",NA,1,"Leptothrix echinata",1,"SEM"
"75",1997-02-04,2,98000,"indv./L","0_15m","Burkholderiales","Leptothrix","echinata",NA,"",NA,1,"Leptothrix echinata",1,"SEM"
"76",1997-04-01,2,100,"indv./L","0_15m","Burkholderiales","Leptothrix","echinata",NA,"",NA,1,"Leptothrix echinata",1,"SEM"
"77",1997-12-09,2,150000,"indv./L","0_15m","Burkholderiales","Leptothrix","echinata",NA,"",NA,1,"Leptothrix echinata",1,"SEM"
"78",1998-01-05,2,97000,"indv./L","0_15m","Burkholderiales","Leptothrix","echinata",NA,"",NA,1,"Leptothrix echinata",1,"SEM"
"79",1998-02-02,2,34000,"indv./L","0_15m","Burkholderiales","Leptothrix","echinata",NA,"",NA,1,"Leptothrix echinata",1,"SEM"
"80",1999-01-04,2,28000,"indv./L","0_15m","Burkholderiales","Leptothrix","echinata",NA,"",NA,1,"Leptothrix echinata",1,"SEM"
"81",1999-02-01,2,21000,"indv./L","0_15m","Burkholderiales","Leptothrix","echinata",NA,"",NA,1,"Leptothrix echinata",1,"SEM"
"82",1999-03-01,2,21000,"indv./L","0_15m","Burkholderiales","Leptothrix","echinata",NA,"",NA,1,"Leptothrix echinata",1,"SEM"
"83",2000-02-28,2,25000,"indv./L","0_15m","Burkholderiales","Leptothrix","echinata",NA,"",NA,1,"Leptothrix echinata",1,"SEM"
"84",2001-01-08,2,13000,"indv./L","0_15m","Burkholderiales","Leptothrix","echinata",NA,"",NA,1,"Leptothrix echinata",1,"SEM"
"85",2001-12-10,2,46000,"indv./L","0_15m","Burkholderiales","Leptothrix","echinata",NA,"",NA,1,"Leptothrix echinata",1,"SEM"
"86",2002-01-07,2,31000,"indv./L","0_15m","Burkholderiales","Leptothrix","echinata",NA,"",NA,1,"Leptothrix echinata",1,"SEM"
"87",2003-01-06,2,42000,"indv./L","0_15m","Burkholderiales","Leptothrix","echinata",NA,"",NA,1,"Leptothrix echinata",1,"SEM"
"88",2003-12-09,1,25000,"indv./L","0_15m","Burkholderiales","Leptothrix","ochracea",NA,"",NA,1,"Leptothrix ochracea",1,"SEM"
"89",2004-01-05,2,25000,"indv./L","0_15m","Burkholderiales","Leptothrix","echinata",NA,"",NA,1,"Leptothrix echinata",1,"SEM"
"90",2004-03-01,2,13000,"indv./L","0_15m","Burkholderiales","Leptothrix","echinata",NA,"",NA,1,"Leptothrix echinata",1,"SEM"
"91",2005-12-05,2,31000,"indv./L","0_15m","Burkholderiales","Leptothrix","echinata",NA,"",NA,1,"Leptothrix echinata",1,"SEM"
"92",2006-06-19,1,730000,"indv./L","0_15m","Burkholderiales","Leptothrix","ochracea",NA,"",NA,1,"Leptothrix ochracea",1,"SEM"
"93",2007-01-08,2,27000,"indv./L","0_15m","Burkholderiales","Leptothrix","echinata",NA,"",NA,1,"Leptothrix echinata",1,"SEM"
"94",2008-12-09,2,390000,"indv./L","0_15m","Burkholderiales","Leptothrix","echinata",NA,"",NA,1,"Leptothrix echinata",1,"SEM"
"95",2009-01-06,2,5800000,"indv./L","0_15m","Burkholderiales","Leptothrix","echinata",NA,"",NA,1,"Leptothrix echinata",1,"SEM"
"96",2009-02-02,2,980000,"indv./L","0_15m","Burkholderiales","Leptothrix","echinata",NA,"",NA,1,"Leptothrix echinata",1,"SEM"
"97",2009-03-30,1,400,"indv./L","0_15m","Burkholderiales","Leptothrix","ochracea",NA,"",NA,1,"Leptothrix ochracea",1,"SEM"
"98",2009-10-12,2,60000,"indv./L","0_15m","Burkholderiales","Leptothrix","echinata",NA,"",NA,1,"Leptothrix echinata",1,"SEM"
"99",2011-02-07,1,880,"indv./L","0_15m","Burkholderiales","Leptothrix","ochracea",NA,"",NA,1,"Leptothrix ochracea",1,"SEM"
"100",2011-02-07,2,880,"indv./L","0_15m","Burkholderiales","Leptothrix","echinata",NA,"",NA,1,"Leptothrix echinata",1,"SEM"
"101",2011-03-14,2,130000,"indv./L","0_15m","Burkholderiales","Leptothrix","echinata",NA,"",NA,1,"Leptothrix echinata",1,"SEM"
"102",2012-02-06,2,140000,"indv./L","0_15m","Burkholderiales","Leptothrix","echinata",NA,"",NA,1,"Leptothrix echinata",1,"SEM"
"103",2012-03-12,2,180000,"indv./L","0_15m","Burkholderiales","Leptothrix","echinata",NA,"",NA,1,"Leptothrix echinata",1,"SEM"
