"date","NH4_N","NO3_N","PO4_P","temperature","depth"
"1942-05-06",NA,NA,NA,8.8375,"0_30m"
"1942-10-14",0.165387422222222,NA,NA,10.9555555555556,"0_30m"
"1947-09-09",0.259868385,0.17619156,0.0448466992,12.06,"0_30m"
"1948-06-24",0.078125007,0.78608546,0.0306588343,11.34,"0_30m"
"1949-03-17",0.04934211,0.7228372,0.0108719265555556,3.54444444444444,"0_30m"
"1949-03-30",NA,NA,NA,4.88888888888889,"0_30m"
"1949-04-20",0.19828218,0.0117963,0.0126839155555556,7.31111111111111,"0_30m"
"1949-05-31",NA,NA,NA,8.8,"0_30m"
"1949-07-08",NA,NA,NA,11.85,"0_30m"
"1949-07-20",NA,NA,NA,11.54,"0_30m"
"1949-08-26",NA,NA,NA,11.92,"0_30m"
"1949-09-22",0.349506608,0.103907832,0.0916503613,11.59,"0_30m"
"1949-11-04",NA,NA,NA,8.76666666666667,"0_30m"
"1949-12-08",NA,NA,NA,6.42222222222222,"0_30m"
"1950-01-10",NA,NA,NA,4.53333333333333,"0_30m"
"1950-02-16",0.2055921,0.762994733333333,0.0554468366666667,3.53333333333333,"0_30m"
"1950-03-16",0.109649127777778,0.7228372,0.0402261333333333,4.2,"0_30m"
"1950-04-14",0.01370614,0.757975088888889,0.0108719277777778,6.57777777777778,"0_30m"
"1950-05-10",0.113304081111111,0.8006425,0.03334058,9.12222222222222,"0_30m"
"1950-06-12",0.0822368477777778,0.888487322222222,0.0529100488888889,12.7666666666667,"0_30m"
"1950-07-12",0.0959429811111111,0.557186973333333,0.0572588272222222,13.4,"0_30m"
"1950-08-09",0.165387424444444,0.445498596666667,0.0643255777777778,13.3111111111111,"0_30m"
"1950-09-06",0.242141813333333,0.12047286,0.0603391911111111,12.6,"0_30m"
"1950-10-05",0.309758778888889,0.0301182177777778,0.0742915122222222,11.1,"0_30m"
"1950-11-06",0.664290877777778,0.0200788088888889,0.119591213333333,8.51111111111111,"0_30m"
"1950-12-04",0.687134466666667,0.401576188888889,0.07356671,6.54444444444444,"0_30m"
"1951-02-08",NA,NA,NA,2.93333333333333,"0_30m"
"1951-03-08",0.03015351,1.626384,0.0583460166666667,3.16666666666667,"0_30m"
"1951-04-03",0.0612207611111111,1.581206,0.0485612833333333,4.97777777777778,"0_30m"
"1951-05-07",0.124269004444444,1.3402606,0.0115967237777778,8.93333333333333,"0_30m"
"1951-06-07",0.0447733955555556,0.8232312,0.0344277733333333,11.2222222222222,"0_30m"
"1951-07-03",0.0502558522222222,1.12441335555556,0.0518228595555556,12.0888888888889,"0_30m"
"1951-09-04",0.0420321644444444,0.838290433333333,0.0311661944444444,11.4888888888889,"0_30m"
"1951-10-02",0.2905702,0.461812633333333,0.0938609817777778,11.4111111111111,"0_30m"
"1952-09-11",0.211074555555556,0.424164848888889,0.0735667166666667,10.8111111111111,"0_30m"
"1953-01-27",0.392909355555556,1.08425575555556,0.0858882355555556,2.72222222222222,"0_30m"
"1953-03-03",0.04111842,1.25492555555556,0.100021744444444,2.97777777777778,"0_30m"
"1953-03-27",0.0676169611111111,1.28002422222222,0.07320432,4.7,"0_30m"
"1953-04-17",0.0849780911111111,0.983861566666667,0.0474740941111111,6.35555555555556,"0_30m"
"1953-05-26",0.0932017566666667,0.971312277777778,0.0677683573333333,11.2111111111111,"0_30m"
"1953-06-23",0.165387428888889,0.813191855555556,0.0909618022222222,11.0444444444444,"0_30m"
"1953-07-27",0.209247087777778,0.865898733333333,0.110893662222222,11.9888888888889,"0_30m"
"1953-08-25",0.331688602222222,0.557186955555556,0.124664778888889,11.6333333333333,"0_30m"
"1953-09-21",0.411184233333333,0.519539166666667,0.117416823333333,11.3666666666667,"0_30m"
"1953-10-20",0.508040912222222,0.271063944444444,0.144959041111111,10.0333333333333,"0_30m"
"1953-11-18",0.573830488888889,0.333810188888889,0.1674277,7.63333333333333,"0_30m"
"1953-12-14",0.730994211111111,0.21333732,0.200768282222222,6,"0_30m"
"1954-02-08",0.607638877777778,0.4065959,0.148220644444444,1.76666666666667,"0_30m"
"1954-03-10",0.383771933333333,0.722837122222222,0.1808364,2.96666666666667,"0_30m"
"1954-04-21",0.0639619888888889,0.745425811111111,0.121765602222222,5.67777777777778,"0_30m"
"1954-05-18",0.0858918122222222,0.632482493333333,0.105095308444444,8.67777777777778,"0_30m"
"1954-06-15",0.0913742633333333,0.667620422222222,0.136986298888889,9.7,"0_30m"
"1954-07-20",0.119700301111111,0.539618,0.142059858888889,11.0666666666667,"0_30m"
"1954-08-26",0.233918132222222,0.321260933333333,0.185547588888889,11.4444444444444,"0_30m"
"1954-09-14",0.2933114,0.215847193333333,0.20113068,11.5666666666667,"0_30m"
"1954-10-20",0.432200311111111,0.168160024444444,0.206929038888889,9.86666666666667,"0_30m"
"1954-11-23",0.561951722222222,0.16063046,0.227223328888889,7.54444444444444,"0_30m"
"1954-12-21",0.4769737,0.276083588888889,0.202942655555556,6.17777777777778,"0_30m"
"1955-01-26",0.368238311111111,0.7680144,0.169239666666667,3.72222222222222,"0_30m"
"1955-07-18",0.0840643255555556,0.527068744444444,0.101471325555556,12.6222222222222,"0_30m"
"1955-09-19",0.358187162222222,0.16565018,0.171414077777778,11.1222222222222,"0_30m"
"1956-02-17",0.0712719344444444,1.02652916666667,0.206566633333333,2.45555555555556,"0_30m"
"1956-03-26",0.03015351,1.129433,0.171051655555556,3.97777777777778,"0_30m"
"1956-04-24",0.0785818733333333,0.890997177777778,0.150757395555556,6.64444444444444,"0_30m"
